AR,HTR,VCD,PSH,HomeTeam,IWH,AC,HTAG,HF,B365D,AF,HY,Date,WHA,HST,B365H,HR,BWH,AS,PSA,PSD,B365A,HC,WHH,FTAG,Div,AY,VCA,AST,HTHG,IWD,FTHG,FTR,VCH,PSCH,BWA,AwayTeam,BWD,WHD,PSCA,PSCD,HS,IWA
0,H,7.5,1.2,Bayern Munich,1.3,2,0,2,7.5,21,1,24/08/2018,13.0,5,1.2,0,1.2,8,14.9,7.86,12.0,7,1.17,1,D1,4,15.0,5,1,5.8,3,H,1.2,1.23,11.5,Hoffenheim,7.5,8.0,14.1,7.15,16,9.0
0,H,3.3,2.51,Fortuna Dusseldorf,2.4,5,0,11,3.25,10,1,25/08/2018,2.9,5,2.37,0,2.4,14,3.06,3.32,3.0,7,2.45,2,D1,0,3.0,7,1,3.3,1,A,2.5,2.74,3.0,Augsburg,3.3,3.25,2.78,3.33,9,2.95
0,H,4.0,1.79,Dortmund,1.8,9,1,8,3.8,11,2,26/08/2018,4.2,5,1.72,0,1.75,10,4.57,4.05,4.75,7,1.75,1,D1,2,4.3,7,3,3.6,4,H,1.8,1.74,4.6,RB Leipzig,3.8,4.0,4.77,4.11,10,4.5
0,D,4.4,5.44,Hannover,5.5,1,0,11,4.33,5,0,31/08/2018,1.62,0,5.5,0,5.5,8,1.65,4.25,1.57,4,4.8,0,D1,0,1.62,3,0,4.0,0,D,5.2,5.25,1.57,Dortmund,4.33,4.33,1.68,4.16,7,1.6
0,H,3.4,2.64,Augsburg,2.65,4,0,12,3.4,12,1,01/09/2018,2.62,7,2.62,0,2.65,7,2.83,3.41,2.7,9,2.6,1,D1,2,2.75,2,1,3.4,1,D,2.63,2.65,2.65,M'gladbach,3.4,3.4,2.75,3.52,18,2.65
0,D,5.0,1.41,RB Leipzig,1.45,3,0,11,4.75,15,1,02/09/2018,7.0,7,1.4,0,1.42,14,8.87,4.92,8.0,3,1.4,1,D1,4,8.0,8,0,4.5,1,D,1.4,1.34,7.5,Fortuna Dusseldorf,4.75,5.0,9.56,5.69,23,7.1
0,H,5.0,1.44,Dortmund,1.45,1,0,11,5.0,11,0,14/09/2018,7.5,6,1.4,0,1.44,5,8.02,4.77,7.5,7,1.4,1,D1,1,8.0,2,1,4.5,3,H,1.4,1.48,7.0,Ein Frankfurt,4.75,4.75,6.97,4.74,10,7.0
1,H,7.0,1.23,Bayern Munich,1.27,1,1,4,7.0,12,0,15/09/2018,11.0,5,1.2,0,1.22,3,13.74,6.86,13.0,9,1.22,1,D1,1,12.0,1,2,6.0,3,H,1.25,1.17,12.5,Leverkusen,6.75,6.5,15.59,8.8,18,10.0
0,D,3.25,2.76,Freiburg,2.7,8,1,13,3.25,11,3,16/09/2018,2.75,5,2.62,1,2.55,11,2.87,3.17,2.75,5,2.62,3,D1,4,2.75,6,1,3.1,3,D,2.7,2.79,2.9,Stuttgart,3.2,3.2,2.77,3.22,12,2.8
0,D,3.75,1.78,Stuttgart,1.8,9,0,8,3.6,19,0,21/09/2018,4.33,1,1.72,0,1.72,19,4.81,3.84,5.25,2,1.8,0,D1,2,4.6,7,0,3.6,0,D,1.8,1.72,5.0,Fortuna Dusseldorf,3.7,3.7,5.19,3.89,10,4.5
0,A,3.4,2.53,Augsburg,2.5,4,2,10,3.25,11,2,22/09/2018,2.88,7,2.5,0,2.45,12,2.89,3.48,2.9,7,2.4,3,D1,2,2.9,7,1,3.4,2,A,2.5,2.89,2.85,Werder Bremen,3.4,3.4,2.53,3.48,21,2.8
0,H,3.5,3.14,Ein Frankfurt,2.9,2,0,14,3.4,8,1,23/09/2018,2.3,5,2.9,0,3.1,9,2.32,3.56,2.35,4,3.0,1,D1,1,2.3,2,1,3.4,1,D,3.13,3.06,2.3,RB Leipzig,3.4,3.4,2.35,3.67,8,2.4
0,D,10.0,1.12,Bayern Munich,1.12,4,0,6,10.0,15,3,25/09/2018,17.0,8,1.1,0,1.11,12,24.78,10.15,23.0,8,1.11,1,D1,2,21.0,4,0,9.0,1,D,1.13,1.12,21.0,Augsburg,9.5,10.0,25.21,10.33,16,20.0
0,H,5.75,1.31,Dortmund,1.3,5,0,6,5.5,10,0,26/09/2018,9.0,10,1.3,0,1.3,4,11.6,5.59,10.0,4,1.3,0,D1,2,10.5,1,2,5.8,7,H,1.3,1.42,11.0,Nurnberg,5.25,5.5,8.17,4.82,19,9.0
0,H,6.0,10.39,Hertha,7.5,14,0,14,5.75,10,3,28/09/2018,1.29,4,10.0,0,9.75,25,1.29,6.05,1.28,1,9.5,0,D1,1,1.29,5,2,4.8,2,H,11.0,12.43,1.3,Bayern Munich,5.75,5.8,1.25,6.47,6,1.4
0,D,3.9,2.05,Hoffenheim,2.1,8,0,4,3.75,14,1,29/09/2018,3.1,6,2.04,0,2.1,18,3.46,4.02,3.4,4,2.1,2,D1,3,3.25,7,0,3.5,1,A,2.1,2.27,3.25,RB Leipzig,3.75,3.8,3.05,3.89,13,3.4
0,H,3.5,1.92,Augsburg,2.0,3,0,12,3.4,8,0,30/09/2018,4.0,10,1.9,0,1.95,13,4.62,3.47,4.33,5,1.95,1,D1,1,4.3,6,2,3.4,4,H,1.93,1.92,4.1,Freiburg,3.4,3.3,4.17,3.77,21,3.8
0,H,3.6,2.0,Werder Bremen,2.1,5,0,12,3.5,13,1,05/10/2018,3.6,5,1.95,0,2.05,10,3.93,3.68,4.0,7,2.0,0,D1,2,3.8,4,1,3.4,2,H,2.0,2.08,3.7,Wolfsburg,3.4,3.5,3.74,3.6,15,3.5
0,A,7.5,1.2,Bayern Munich,1.25,3,2,7,7.0,4,2,06/10/2018,12.0,3,1.2,0,1.22,7,14.6,7.61,13.0,1,1.2,3,D1,2,13.0,3,0,6.5,0,A,1.2,1.17,11.5,M'gladbach,7.0,7.0,17.01,8.41,14,10.0
0,D,3.5,3.4,Freiburg,3.3,4,0,11,3.4,12,3,07/10/2018,2.15,1,3.4,0,3.4,14,2.2,3.6,2.14,3,3.2,0,D1,1,2.2,0,0,3.4,0,D,3.3,3.53,2.15,Leverkusen,3.4,3.5,2.14,3.64,7,2.2
0,H,4.0,1.65,Ein Frankfurt,1.75,1,0,13,3.8,12,0,19/10/2018,5.0,13,1.61,0,1.65,10,5.64,4.09,5.75,5,1.63,1,D1,2,5.5,5,3,3.7,7,H,1.65,1.81,5.25,Fortuna Dusseldorf,4.0,4.0,5.05,3.6,21,4.7
0,D,3.7,3.1,Augsburg,3.1,2,0,20,3.5,24,2,20/10/2018,2.3,0,3.0,0,3.1,15,2.33,3.65,2.3,2,2.88,0,D1,5,2.3,3,0,3.4,0,D,3.0,2.98,2.25,RB Leipzig,3.5,3.6,2.35,3.79,6,2.3
