rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.82,0.2,93.28
2,2,Bayern Munich,German Bundesliga,3.19,0.47,91.76
3,3,Barcelona,Spanish Primera Division,3.18,0.54,90.74
4,5,Liverpool,Barclays Premier League,2.72,0.45,88.6
5,6,Chelsea,Barclays Premier League,2.47,0.39,87.34
6,4,Atletico Madrid,Spanish Primera Division,2.22,0.27,87.27
7,7,Real Madrid,Spanish Primera Division,2.54,0.44,87.16
8,8,Paris Saint-Germain,French Ligue 1,2.68,0.57,86.12
9,10,RB Leipzig,German Bundesliga,2.37,0.48,84.55
10,9,Borussia Dortmund,German Bundesliga,2.52,0.58,84.25
11,12,Manchester United,Barclays Premier League,2.52,0.59,84.02
12,11,Juventus,Italy Serie A,2.44,0.6,82.97
13,15,Internazionale,Italy Serie A,2.46,0.63,82.68
14,13,Real Sociedad,Spanish Primera Division,2.15,0.45,82.54
15,14,Bayer Leverkusen,German Bundesliga,2.29,0.54,82.44
16,16,Tottenham Hotspur,Barclays Premier League,2.27,0.57,81.48
17,18,Atalanta,Italy Serie A,2.37,0.67,80.8
18,19,Villarreal,Spanish Primera Division,2.12,0.52,80.68
19,20,Ajax,Dutch Eredivisie,2.68,0.88,80.35
20,22,Sevilla FC,Spanish Primera Division,2.05,0.5,80.19
21,17,Napoli,Italy Serie A,2.09,0.53,80.13
22,26,Lyon,French Ligue 1,2.18,0.63,78.99
23,25,Arsenal,Barclays Premier League,2.09,0.58,78.9
24,24,AC Milan,Italy Serie A,2.3,0.74,78.46
25,32,Aston Villa,Barclays Premier League,2.19,0.67,78.38
26,27,Leicester City,Barclays Premier League,2.15,0.64,78.35
27,21,FC Salzburg,Austrian T-Mobile Bundesliga,2.88,1.13,78.11
28,23,AS Roma,Italy Serie A,2.31,0.77,77.83
29,31,Southampton,Barclays Premier League,1.96,0.63,75.78
30,29,Lille,French Ligue 1,1.88,0.58,75.64
31,28,Borussia Monchengladbach,German Bundesliga,2.31,0.87,75.64
32,38,Celta Vigo,Spanish Primera Division,2.01,0.69,75.18
33,30,Wolverhampton,Barclays Premier League,1.83,0.57,74.99
34,33,Everton,Barclays Premier League,2.06,0.73,74.9
35,34,VfL Wolfsburg,German Bundesliga,2.06,0.74,74.77
36,35,FC Porto,Portuguese Liga,2.1,0.78,74.56
37,36,Zenit St Petersburg,Russian Premier Liga,2.15,0.82,74.32
38,39,Benfica,Portuguese Liga,2.24,0.89,74.23
